proposed_item_code,standard_name,specification,unit,item_group_key,erpnext_item_group,material,thickness,width,form,brand,model,package_spec,alias_names,supplier_names,source_count,status,notes,source_rows
CNS-000035,50kg冰块,50kg冰块,Nos,consumable,耗材,,,,,,,,50kg冰块,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:1052 | Sheet1:1055 | Sheet1:1056 | Sheet1:1070
CNS-000036,6厘膨胀螺丝,6厘膨胀螺丝,Nos,consumable,耗材,,,,,,,,6厘膨胀螺丝,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:197 | Sheet1:1409 | Sheet1:1487 | Sheet1:1564
CNS-000037,公元25PPR管,公元25PPR管,米,consumable,耗材,,,,,,,,公元25PPR管,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:42 | Sheet1:169 | Sheet1:765 | Sheet1:1309
CNS-000038,吊带5T*6m,吊带5T*6m,根,consumable,耗材,,,,,,,,吊带5T*6m,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2859 | Sheet1:3088 | Sheet1:3395 | Sheet1:3406
CNS-000039,吊灯头,吊灯头,Nos,consumable,耗材,,,,,,,,吊灯头,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:684 | Sheet1:1133 | Sheet1:1649 | Sheet1:2172
CNS-000040,大垃圾袋,大垃圾袋,Nos,consumable,耗材,,,,,,,,大垃圾袋,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:150 | Sheet1:222 | Sheet1:236 | Sheet1:364
CNS-000041,大西洋药芯焊丝1.2,大西洋药芯焊丝1.2,盘,consumable,耗材,,,,,,,,大西洋药芯焊丝1.2,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2665 | Sheet1:2864 | Sheet1:2946 | Sheet1:3468
CNS-000042,油性聚氨酯堵漏剂,油性聚氨酯堵漏剂,Kg,consumable,耗材,,,,,,,,油性聚氨酯堵漏剂,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:915 | Sheet1:976 | Sheet1:1023 | Sheet1:1034
CNS-000043,灭火器箱子,灭火器箱子,Nos,consumable,耗材,,,,,,,,灭火器箱子,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:1881 | Sheet1:3369 | Sheet1:3474 | Sheet1:3560
CNS-000044,羊毛刷2寸,羊毛刷2寸,把,consumable,耗材,,,,,,,,羊毛刷2寸,,4,needs_review,规则未能完全识别，请人工确认分类和规格。,Sheet1:2633 | Sheet1:2711 | Sheet1:2757 | Sheet1:2844
